obsolete	replacement
MONDO:0002084	MONDO:0005462
MONDO:0002091	MONDO:0015474
MONDO:0002094	MONDO:0006173
MONDO:0002097	MONDO:0006325
MONDO:0002111	MONDO:0006362
MONDO:0002115	MONDO:0009831
MONDO:0002126	MONDO:0010826
MONDO:0002147	MONDO:0015452
MONDO:0002148	MONDO:0019255
MONDO:0002151	MONDO:0018234
MONDO:0002157	MONDO:0006206
MONDO:0002160	MONDO:0006497
MONDO:0002161	MONDO:0006207
MONDO:0002179	MONDO:0006374
MONDO:0002180	MONDO:0020550
MONDO:0002208	MONDO:0024336
MONDO:0002210	MONDO:0024609
MONDO:0002213	MONDO:0018077
MONDO:0002215	MONDO:0020560
MONDO:0002228	MONDO:0018364
MONDO:0002231	MONDO:0018171
MONDO:0002248	MONDO:0020076
MONDO:0002276	MONDO:0002277
MONDO:0002284	MONDO:0017719
MONDO:0002288	MONDO:0016245
MONDO:0002292	MONDO:0006235
MONDO:0002294	MONDO:0016730
MONDO:0002296	MONDO:0018327
MONDO:0002302	MONDO:0019933
MONDO:0002315	MONDO:0019064
MONDO:0002335	MONDO:0006702
MONDO:0002339	MONDO:0006500
MONDO:0002344	MONDO:0018102
MONDO:0002346	MONDO:0004612
MONDO:0002348	MONDO:0019701
MONDO:0002349	MONDO:0015977
MONDO:0002364	MONDO:0024889
MONDO:0002374	MONDO:0006351
MONDO:0002384	MONDO:0006474
MONDO:0002389	MONDO:0006071
MONDO:0002390	MONDO:0006330
MONDO:0002391	MONDO:0006414
MONDO:0002392	MONDO:0006282
MONDO:0002394	MONDO:0006266
MONDO:0002417	MONDO:0006201
MONDO:0002421	MONDO:0006375
MONDO:0002430	MONDO:0019203
MONDO:0002431	MONDO:0019622
MONDO:0002439	MONDO:0019538
MONDO:0002445	MONDO:0016242
MONDO:0002446	MONDO:0019050
MONDO:0002454	MONDO:0005032
MONDO:0002456	MONDO:0005131
MONDO:0002458	MONDO:0006515
MONDO:0002484	MONDO:0005590
MONDO:0002497	MONDO:0700226
MONDO:0002498	MONDO:0018177
MONDO:0002499	MONDO:0019781
MONDO:0002500	MONDO:0016681
MONDO:0002502	MONDO:0016682
MONDO:0002504	MONDO:0016684
MONDO:0002506	MONDO:0800491
MONDO:0002521	MONDO:0007908
MONDO:0002524	MONDO:0018473
MONDO:0002530	MONDO:0006427
MONDO:0002538	MONDO:0018687
MONDO:0002539	MONDO:0016695
MONDO:0002557	MONDO:0008075
MONDO:0002560	MONDO:0017612
